id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
167,4,ORURO,40202,SANTUARIO DE QUILLACAS,29,,34,,63
168,4,ORURO,40301,CORQUE,18,,61,3,82
169,4,ORURO,40302,CHOQUE COTA,1,,4,,5
170,4,ORURO,40401,CURAHUARA DE CARANGAS,54,,27,,81
171,4,ORURO,40402,TURCO,16,,26,,42
172,4,ORURO,40501,HUACHACALLA,3,,,,3
173,4,ORURO,40601,POOPO,37,,3,,40
174,4,ORURO,40602,PAZÑA,44,,34,,78
175,4,ORURO,40603,ANTEQUERA,22,1,12,,35
176,4,ORURO,40701,HUANUNI,294,3,12,,309
177,4,ORURO,40702,MACHACAMARCA,53,,,,53
178,4,ORURO,40801,SALINAS DE GARCI MENDOZA,98,,25,,123
179,4,ORURO,40802,PAMPA AULLAGAS,18,,29,,47
180,4,ORURO,40901,SABAYA,13,1,21,,35
181,4,ORURO,40902,COIPASA,9,,1,,10
182,4,ORURO,40903,CHIPAYA,24,,21,,45
183,4,ORURO,41001,TOLEDO,33,,28,1,62
184,4,ORURO,41101,EUCALIPTUS,40,,23,,63
185,4,ORURO,41201,ANDAMARCA,10,1,23,,34
186,4,ORURO,41202,BELEN DE ANDAMARCA,7,,6,,13
187,4,ORURO,41301,TOTORA(ORR),55,,22,,77
188,4,ORURO,41401,SANTIAGO DE HUARI,109,,28,,137
189,4,ORURO,41501,LA RIVERA,,,2,,2
190,4,ORURO,41502,TODOS SANTOS,,,1,,1
191,4,ORURO,41503,CARANGAS,1,,,,1
192,4,ORURO,41601,HUAYLLAMARCA,19,,33,1,53
193,5,POTOSI,50101,POTOSI,5067,106,15,1,5189
194,5,POTOSI,50102,TINGUIPAYA,49,2,183,6,240
195,5,POTOSI,50103,YOCALLA,32,,12,,44
196,5,POTOSI,50104,BELEN DE URMIRI,7,,15,,22
197,5,POTOSI,50201,UNCIA,203,1,74,2,280
198,5,POTOSI,50202,CHAYANTA,123,,137,1,261
199,5,POTOSI,50203,LLALLAGUA,771,28,44,,843
200,5,POTOSI,50204,CHUQUIHUTA AYLLU JUCUMANI,87,1,52,,140
201,5,POTOSI,50301,BETANZOS,272,5,181,2,460
202,5,POTOSI,50302,CHAQUI,41,,43,,84
203,5,POTOSI,50303,TACOBAMBA,17,1,96,1,115
204,5,POTOSI,50401,COLQUECHACA,171,2,317,3,493
205,5,POTOSI,50402,RAVELO,82,,95,1,178
206,5,POTOSI,50403,POCOATA,86,1,281,4,372
207,5,POTOSI,50404,OCURI,116,5,203,6,330
208,5,POTOSI,50501,SAN PEDRO DE BUENA VISTA,127,5,113,,245
209,5,POTOSI,50502,TORO TORO,60,,84,1,145
210,5,POTOSI,50601,COTAGAITA,160,2,121,3,286
211,5,POTOSI,50602,VITICHI,67,,70,1,138
212,5,POTOSI,50701,SACACA,143,2,83,2,230
213,5,POTOSI,50702,CARIPUYO,31,,145,4,180
214,5,POTOSI,50801,TUPIZA,751,10,133,1,895
215,5,POTOSI,50802,ATOCHA,178,6,30,6,220
216,5,POTOSI,50901,"COLCHA ""K""",31,,94,,125
217,5,POTOSI,50902,SAN PEDRO DE QUEMES,2,,5,,7
218,5,POTOSI,51001,SAN PABLO DE LIPEZ,5,,46,,51
219,5,POTOSI,51002,MOJINETE,,,6,,6
220,5,POTOSI,51003,SAN ANTONIO DE ESMORUCO,1,,32,3,36
221,5,POTOSI,51101,PUNA,201,1,160,2,364
222,5,POTOSI,51102,"CAIZA ""D""",74,1,33,,108
223,5,POTOSI,51103,CKOCHAS,61,1,217,1,280
224,5,POTOSI,51201,UYUNI,591,17,57,1,666
225,5,POTOSI,51202,TOMAVE,63,,89,,152
226,5,POTOSI,51203,PORCO,126,3,18,,147
227,5,POTOSI,51301,ARAMPAMPA,12,,47,1,60
228,5,POTOSI,51302,ACACIO,46,,33,2,81
229,5,POTOSI,51401,LLICA,52,,14,,66
230,5,POTOSI,51402,TAHUA,3,,7,,10
231,5,POTOSI,51501,VILLAZON,680,8,13,,701
232,5,POTOSI,51601,SAN AGUSTIN,5,,24,1,30
233,6,TARIJA,60101,TARIJA,5074,33,7,,5114
234,6,TARIJA,60201,PADCAYA,157,1,39,,197
235,6,TARIJA,60202,BERMEJO,669,5,19,,693
236,6,TARIJA,60301,YACUIBA,2062,20,23,1,2106
237,6,TARIJA,60302,CARAPARI,108,1,16,,125
238,6,TARIJA,60303,VILLA MONTES,1009,14,14,,1037
239,6,TARIJA,60401,URIONDO (A. CONCEPCION),100,,4,,104
240,6,TARIJA,60402,YUNCHARA,20,,48,,68
241,6,TARIJA,60501,SAN LORENZO(TJA),87,1,29,,117
242,6,TARIJA,60502,EL PUENTE(TJA),119,2,42,1,164
243,6,TARIJA,60601,ENTRE RIOS  TRJ,233,2,48,1,284
244,7,SANTA CRUZ,70101,SANTA CRUZ DE LA SIERRA,35436,346,29,22,35833
245,7,SANTA CRUZ,70102,COTOCA,907,6,12,,925
246,7,SANTA CRUZ,70103,PORONGO,56,,15,,71
247,7,SANTA CRUZ,70104,LA GUARDIA,756,2,14,,772
248,7,SANTA CRUZ,70105,EL TORNO,746,3,22,1,772
249,7,SANTA CRUZ,70201,WARNES,1282,16,30,,1328
250,7,SANTA CRUZ,70202,OKINAWA,140,,2,,142
251,7,SANTA CRUZ,70301,SAN IGNACIO DE VELASCO,1648,27,87,,1762
252,7,SANTA CRUZ,70302,SAN MIGUEL DE VELASCO,180,1,26,,207
253,7,SANTA CRUZ,70303,SAN RAFAEL,83,,6,1,90
254,7,SANTA CRUZ,70401,BUENA VISTA,123,,5,7,135
255,7,SANTA CRUZ,70402,SAN CARLOS,600,3,9,28,640
256,7,SANTA CRUZ,70403,YAPACANI,976,9,25,,1010
257,7,SANTA CRUZ,70404,SAN JUAN DE YAPACANI,137,,7,,144
258,7,SANTA CRUZ,70501,SAN JOSE DE CHIQUITOS,451,9,4,,464
259,7,SANTA CRUZ,70502,PAILON,428,,24,,452
260,7,SANTA CRUZ,70503,ROBORE,335,1,2,,338
261,7,SANTA CRUZ,70601,PORTACHUELO,607,2,1,,610
262,7,SANTA CRUZ,70602,SANTA ROSA DEL SARA,237,3,30,,270
263,7,SANTA CRUZ,70603,COLPA BELGICA,55,,,,55
264,7,SANTA CRUZ,70701,LAGUNILLAS,69,1,14,,84
265,7,SANTA CRUZ,70702,CHARAGUA,625,23,47,1,696
266,7,SANTA CRUZ,70703,CABEZAS,265,2,11,1,279
267,7,SANTA CRUZ,70704,CUEVO,22,,20,,42
268,7,SANTA CRUZ,70705,GUTIERREZ,146,1,81,1,229
269,7,SANTA CRUZ,70706,CAMIRI,1002,17,10,,1029
270,7,SANTA CRUZ,70707,BOYUIBE,61,1,9,,71
271,7,SANTA CRUZ,70801,VALLEGRANDE,408,3,2,,413
272,7,SANTA CRUZ,70802,TRIGAL,12,3,,,15
273,7,SANTA CRUZ,70803,MORO MORO,33,,2,,35
274,7,SANTA CRUZ,70804,POSTRER VALLE,9,,2,,11
275,7,SANTA CRUZ,70805,PUCARA,11,,3,,14
276,7,SANTA CRUZ,70901,SAMAIPATA,156,6,11,1,174
277,7,SANTA CRUZ,70902,PAMPA GRANDE,108,,5,,113
278,7,SANTA CRUZ,70903,MAIRANA,294,5,3,,302
279,7,SANTA CRUZ,70904,QUIRUSILLAS,12,,,,12
280,7,SANTA CRUZ,71001,MONTERO,3166,56,10,,3232
