id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
238;5;POTOSI    ;51601;SAN AGUSTIN                   ;25;0,625
239;6;TARIJA    ;60101;TARIJA                        ;4151;0,646875487
240;6;TARIJA    ;60201;PADCAYA                       ;306;1,443396226
241;6;TARIJA    ;60202;BERMEJO                       ;772;0,985951469
242;6;TARIJA    ;60301;YACUIBA                       ;1956;0,7397882
243;6;TARIJA    ;60302;CARAPARI                      ;237;1,519230769
244;6;TARIJA    ;60303;VILLA MONTES                  ;1044;0,843295638
245;6;TARIJA    ;60401;URIONDO (A. CONCEPCION)       ;242;2,068376068
246;6;TARIJA    ;60402;YUNCHARA                      ;83;0,846938776
247;6;TARIJA    ;60501;SAN LORENZO(TJA)              ;249;2,128205128
248;6;TARIJA    ;60502;EL PUENTE(TJA)                ;172;0,960893855
249;6;TARIJA    ;60601;ENTRE RIOS  TRJ               ;331;0,945714286
250;7;SANTA CRUZ;70101;SANTA CRUZ DE LA SIERRA       ;32031;0,666271451
251;7;SANTA CRUZ;70102;COTOCA                        ;1084;0,992673993
252;7;SANTA CRUZ;70103;PORONGO                       ;137;2,209677419
253;7;SANTA CRUZ;70104;LA GUARDIA                    ;1277;1,415742794
254;7;SANTA CRUZ;70105;EL TORNO                      ;1643;1,335772358
255;7;SANTA CRUZ;70201;WARNES                        ;2288;1,393422655
256;7;SANTA CRUZ;70202;OKINAWA                       ;127;0,682795699
257;7;SANTA CRUZ;70301;SAN IGNACIO DE VELASCO        ;888;0,475884244
258;7;SANTA CRUZ;70302;SAN MIGUEL DE VELASCO         ;227;1
259;7;SANTA CRUZ;70303;SAN RAFAEL                    ;89;0,936842105
260;7;SANTA CRUZ;70401;BUENA VISTA                   ;178;1,28057554
261;7;SANTA CRUZ;70402;SAN CARLOS                    ;464;0,736507937
262;7;SANTA CRUZ;70403;YAPACANI                      ;1140;0,926076361
263;7;SANTA CRUZ;70404;SAN JUAN DE YAPACANI          ;118;0,836879433
264;7;SANTA CRUZ;70501;SAN JOSE DE CHIQUITOS         ;288;0,535315985
265;7;SANTA CRUZ;70502;PAILON                        ;590;1,199186992
266;7;SANTA CRUZ;70503;ROBORE                        ;303;0,844011142
267;7;SANTA CRUZ;70601;PORTACHUELO                   ;363;0,55
268;7;SANTA CRUZ;70602;SANTA ROSA DEL SARA           ;207;0,953917051
269;7;SANTA CRUZ;70603;COLPA BELGICA                 ;152;2,980392157
270;7;SANTA CRUZ;70701;LAGUNILLAS                    ;115;1,18556701
271;7;SANTA CRUZ;70702;CHARAGUA                      ;370;0,459627329
272;7;SANTA CRUZ;70703;CABEZAS                       ;365;0,603305785
273;7;SANTA CRUZ;70704;CUEVO                         ;62;1,265306122
274;7;SANTA CRUZ;70705;GUTIERREZ                     ;153;0,546428571
275;7;SANTA CRUZ;70706;CAMIRI                        ;783;0,617507886
276;7;SANTA CRUZ;70707;BOYUIBE                       ;38;0,584615385
277;7;SANTA CRUZ;70801;VALLEGRANDE                   ;214;0,496519722
278;7;SANTA CRUZ;70802;TRIGAL                        ;22;2,444444444
279;7;SANTA CRUZ;70803;MORO MORO                     ;33;1,03125
280;7;SANTA CRUZ;70804;POSTRER VALLE                 ;14;1
281;7;SANTA CRUZ;70805;PUCARA                        ;12;1,2
282;7;SANTA CRUZ;70901;SAMAIPATA                     ;118;0,72392638
283;7;SANTA CRUZ;70902;PAMPA GRANDE                  ;128;1,040650407
