id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
122,3,COCHABAMBA,30302,MOROCHATA,158,"0,35561637"
123,3,COCHABAMBA,30303,COCAPATA,266,"0,529343116"
124,3,COCHABAMBA,30401,TARATA,181,"0,842282247"
125,3,COCHABAMBA,30402,ANZALDO,98,"0,490351168"
126,3,COCHABAMBA,30403,ARBIETO,184,"0,715808306"
127,3,COCHABAMBA,30404,SACABAMBA,83,"0,650769091"
128,3,COCHABAMBA,30501,ARANI,174,"0,755999257"
129,3,COCHABAMBA,30502,VACAS,127,"0,338680867"
130,3,COCHABAMBA,30601,ARQUE,137,"0,428956182"
131,3,COCHABAMBA,30602,TACOPAYA,90,"0,264682578"
132,3,COCHABAMBA,30701,CAPINOTA,298,"0,697460585"
133,3,COCHABAMBA,30702,SANTIVAÑES,76,"0,470901962"
134,3,COCHABAMBA,30703,SICAYA,31,"0,7575188"
135,3,COCHABAMBA,30801,CLIZA,453,"0,811059659"
136,3,COCHABAMBA,30802,TOCO,78,"0,489062573"
137,3,COCHABAMBA,30803,TOLATA,116,"0,636681284"
138,3,COCHABAMBA,30901,QUILLACOLLO,2117,"0,520697354"
139,3,COCHABAMBA,30902,SIPE SIPE,989,"0,793822321"
140,3,COCHABAMBA,30903,TIQUIPAYA,1122,"0,417929308"
141,3,COCHABAMBA,30904,VINTO,1199,"0,94617503"
142,3,COCHABAMBA,30905,COLCAPIRHUA,1477,"0,705836876"
143,3,COCHABAMBA,31001,SACABA,2380,"0,463568585"
144,3,COCHABAMBA,31002,COLOMI,251,"0,506044936"
145,3,COCHABAMBA,31003,VILLA TUNARI,1364,"1,037681877"
146,3,COCHABAMBA,31101,TAPACARI,233,"0,29978331"
147,3,COCHABAMBA,31201,TOTORA(CBBA),475,"1,766336778"
148,3,COCHABAMBA,31202,POJO (CBBA),172,"0,350176859"
149,3,COCHABAMBA,31203,POCONA,172,"0,518445418"
150,3,COCHABAMBA,31204,CHIMORE,413,"0,783218791"
151,3,COCHABAMBA,31205,PUERTO VILLARROEL,929,"0,731305036"
152,3,COCHABAMBA,31206,ENTRE RIOS CBBA,737,"0,778738848"
153,3,COCHABAMBA,31301,MIZQUE,425,"0,539341343"
154,3,COCHABAMBA,31302,VILA VILA,26,"0,234281991"
155,3,COCHABAMBA,31303,ALALAY,19,"0,13557383"
156,3,COCHABAMBA,31401,PUNATA,455,"0,707442117"
157,3,COCHABAMBA,31402,VILLA RIVERO,106,"0,714958885"
158,3,COCHABAMBA,31403,SAN BENITO,151,"0,451572036"
159,3,COCHABAMBA,31404,TACACHI,9,"0,10841592"
160,3,COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),15,"0,329600244"
161,3,COCHABAMBA,31501,BOLIVAR,69,"0,284592648"
