id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
149;3;COCHABAMBA;31205;PUERTO VILLARROEL;1157;186;36;1379;1,10139138
150;3;COCHABAMBA;31206;ENTRE RIOS CBBA;328;;26;354;0,379497682
151;3;COCHABAMBA;31301;MIZQUE;352;;118;470;0,605163757
152;3;COCHABAMBA;31302;VILA VILA;30;;50;80;0,731394551
153;3;COCHABAMBA;31303;ALALAY;12;;50;62;0,448864444
154;3;COCHABAMBA;31401;PUNATA;629;400;4;1033;1,63273263
155;3;COCHABAMBA;31402;VILLA RIVERO;49;;9;58;0,39768233
156;3;COCHABAMBA;31403;SAN BENITO;86;;9;95;0,28882084
157;3;COCHABAMBA;31404;TACACHI;9;;5;14;0,171440869
158;3;COCHABAMBA;31405;CUCHUMUELA (V. G. VILLARROEL);13;;3;16;0,357398755
159;3;COCHABAMBA;31501;BOLIVAR;16;;105;121;0,506765194
160;3;COCHABAMBA;31601;TIRAQUE (CBBA);287;;42;329;0,632211773
161;3;COCHABAMBA;31602;SHINAOTA;565;131;6;702;1,862525114
162;4;ORURO;40101;ORURO;4283;2995;36;7314;1,234837682
163;4;ORURO;40102;CARACOLLO;173;;93;266;0,39645029
164;4;ORURO;40103;EL CHORO;47;;18;65;0,22528378
165;4;ORURO;40104;SORACACHI;42;;86;128;0,311532616
166;4;ORURO;40201;CHALLAPATA;407;67;143;617;1,10636014
167;4;ORURO;40202;SANTUARIO DE QUILLACAS;27;;34;61;0,686051995
168;4;ORURO;40301;CORQUE;18;;64;82;0,411158114
169;4;ORURO;40302;CHOQUE COTA;1;;4;5;0,129652428
170;4;ORURO;40401;CURAHUARA DE CARANGAS;53;;27;80;0,607486491
171;4;ORURO;40402;TURCO;16;;26;42;0,546288049
172;4;ORURO;40501;HUACHACALLA;3;;;3;0,062591174
173;4;ORURO;40601;POOPO;37;;3;40;0,298839875
174;4;ORURO;40602;PAZÑA;44;;34;78;0,995422438
175;4;ORURO;40603;ANTEQUERA;23;;12;35;0,567221347
176;4;ORURO;40701;HUANUNI;243;53;12;308;0,727140502
177;4;ORURO;40702;MACHACAMARCA;52;;;52;0,677256751
178;4;ORURO;40801;SALINAS DE GARCI MENDOZA;97;;25;122;0,497696877
179;4;ORURO;40802;PAMPA AULLAGAS;18;;29;47;0,47662466
180;4;ORURO;40901;SABAYA;14;;21;35;0,155415358
181;4;ORURO;40902;COIPASA;9;;1;10;0,47681638
182;4;ORURO;40903;CHIPAYA;24;;21;45;0,755274943
183;4;ORURO;41001;TOLEDO;32;;29;61;0,25757793
184;4;ORURO;41101;EUCALIPTUS;40;;23;63;0,503153445
185;4;ORURO;41201;ANDAMARCA;11;;23;34;0,277913481
186;4;ORURO;41202;BELEN DE ANDAMARCA;7;;6;13;0,332456555
187;4;ORURO;41301;TOTORA(ORR);55;;22;77;0,75421052
188;4;ORURO;41401;SANTIAGO DE HUARI;109;;28;137;0,622257835
189;4;ORURO;41501;LA RIVERA;;;2;2;0,157430972
190;4;ORURO;41502;TODOS SANTOS;;;1;1;0,10919315
191;4;ORURO;41503;CARANGAS;1;;;1;0,06681266
192;4;ORURO;41601;HUAYLLAMARCA;19;;34;53;0,477692928
193;5;POTOSI ;50101;POTOSI;3869;1269;15;5153;0,924737154
194;5;POTOSI ;50102;TINGUIPAYA;51;;185;236;0,227957606
195;5;POTOSI ;50103;YOCALLA;32;;12;44;0,161608172
196;5;POTOSI ;50104;BELEN DE URMIRI;7;;15;22;0,343855523
197;5;POTOSI ;50201;UNCIA;204;;76;280;0,48856412
198;5;POTOSI ;50202;CHAYANTA;123;;138;261;0,551118199
199;5;POTOSI ;50203;LLALLAGUA;706;91;44;841;0,793997799
200;5;POTOSI ;50204;CHUQUIHUTA AYLLU JUCUMANI;88;;52;140;0,709165776
201;5;POTOSI ;50301;BETANZOS;276;;183;459;0,417165705
202;5;POTOSI ;50302;CHAQUI;41;;43;84;0,303261779
203;5;POTOSI ;50303;TACOBAMBA;18;;95;113;0,322517175
204;5;POTOSI ;50401;COLQUECHACA;173;;317;490;0,469156135
205;5;POTOSI ;50402;RAVELO;81;;96;177;0,305742293
206;5;POTOSI ;50403;POCOATA;87;;282;369;0,606546673
207;5;POTOSI ;50404;OCURI;112;7;208;327;0,543238735
208;5;POTOSI ;50501;SAN PEDRO DE BUENA VISTA;132;;113;245;0,269814082
209;5;POTOSI ;50502;TORO TORO;60;;84;144;0,464473619
210;5;POTOSI ;50601;COTAGAITA;160;;124;284;0,458580416
211;5;POTOSI ;50602;VITICHI;67;;71;138;0,53811352
212;5;POTOSI ;50701;SACACA;144;;85;229;0,365389035
213;5;POTOSI ;50702;CARIPUYO;31;;148;179;0,660755081
214;5;POTOSI ;50801;TUPIZA;654;103;134;891;0,807099043
215;5;POTOSI ;50802;ATOCHA;179;3;35;217;1,012363902
216;5;POTOSI ;50901;"COLCHA ""K""";30;;94;124;0,368758156
217;5;POTOSI ;50902;SAN PEDRO DE QUEMES;2;;5;7;0,245628798
218;5;POTOSI ;51001;SAN PABLO DE LIPEZ;5;;46;51;0,665821712
219;5;POTOSI ;51002;MOJINETE;;;6;6;0,307270389
220;5;POTOSI ;51003;SAN ANTONIO DE ESMORUCO;1;;35;36;0,535111149
221;5;POTOSI ;51101;PUNA;202;;161;363;0,546746201
222;5;POTOSI ;51102;"CAIZA ""D""";75;;33;108;0,422495544
223;5;POTOSI ;51103;CKOCHAS;62;;218;280;0,575089918
224;5;POTOSI ;51201;UYUNI;409;190;58;657;1,203898638
225;5;POTOSI ;51202;TOMAVE;62;;87;149;0,37868063
226;5;POTOSI ;51203;PORCO;129;;18;147;0,804920501
227;5;POTOSI ;51301;ARAMPAMPA;12;;48;60;0,207832358
228;5;POTOSI ;51302;ACACIO;46;;32;78;0,277268187
229;5;POTOSI ;51401;LLICA;52;;14;66;1,893094669
230;5;POTOSI ;51402;TAHUA;3;;7;10;0,237393214
231;5;POTOSI ;51501;VILLAZON;596;90;13;699;0,529640578
232;5;POTOSI ;51601;SAN AGUSTIN;5;;25;30;0,468167682
233;6;TARIJA;60101;TARIJA;3011;2039;7;5057;0,849543099
234;6;TARIJA;60201;PADCAYA;158;;39;197;0,406030305
