,departamento,municipio,establecimiento,direccion
131,POTOSI,CKOCHAS,MELENA ALTA,melena alta
132,POTOSI,CKOCHAS,MOLLES,molles
134,POTOSI,CKOCHAS,ORONKOTA,ESTANQUE
135,POTOSI,CKOCHAS,SAN PEDRO DE ESQUIRI,SAN PEDRO
136,POTOSI,CKOCHAS,SEOCOCHI,SEOCOCHI
137,POTOSI,CKOCHAS,TAMBILLOS,tambillos
138,POTOSI,CKOCHAS,TURUCHIPA,Turuchipa
139,POTOSI,CKOCHAS,UYUNI (PUNA),uyuni -mucicpio ckochas
140,POTOSI,COLQUECHACA,AYOMA,ayoma
141,POTOSI,COLQUECHACA,BOMBORI,BOMBORI
142,POTOSI,COLQUECHACA,CANTA CANTA,canta canta
143,POTOSI,COLQUECHACA,CASTILLA HUMA,castilla huma
144,POTOSI,COLQUECHACA,CHALVIRI-COLQUECHACA,challviri
145,POTOSI,COLQUECHACA,CHAYRAPATA,CHAIRAPATA
146,POTOSI,COLQUECHACA,CHOQUECAYARA,Choquecayara
147,POTOSI,COLQUECHACA,CHUAFAYA,Chuafaya
148,POTOSI,COLQUECHACA,CHULLPA CKASA,chullpa ckasa
159,POTOSI,COLQUECHACA,COLQUECHACA,CALLE MUÑECAS S/N
149,POTOSI,COLQUECHACA,FUTINA,futina
150,POTOSI,COLQUECHACA,IRUCOYANA,comunidad de irucoyana
151,POTOSI,COLQUECHACA,JAMACHIRI,JAMACHIRI
152,POTOSI,COLQUECHACA,MACHA,LOCALIDAD DE MACHA
153,POTOSI,COLQUECHACA,PALCOYO,PALCOYO
154,POTOSI,COLQUECHACA,PAMPA COLORADA,Pampa colorada
155,POTOSI,COLQUECHACA,ROSARIO,Rosario
156,POTOSI,COLQUECHACA,SALINAS ALTA,Salinas Alta
157,POTOSI,COLQUECHACA,SALINAS BAJA,salinas baja
160,POTOSI,COLQUECHACA,SURUMI,surumi
161,POTOSI,COLQUECHACA,TITIRI,titiri
162,POTOSI,COLQUECHACA,TOMAYCURI,tomaycuri
163,POTOSI,COLQUECHACA,TURCO,TURCO
164,POTOSI,COLQUECHACA,ULUCHI,Uluchi
165,POTOSI,COLQUECHACA,YOCONA,yocona centro
166,POTOSI,COTAGAITA,ASCANTI,ascanty
168,POTOSI,COTAGAITA,CALILA,comunidad Calila
169,POTOSI,COTAGAITA,CAZON,COMUNIDAD CAZON
170,POTOSI,COTAGAITA,CHECOCHI,Comunidad Checochi
171,POTOSI,COTAGAITA,CHUI CHUI,CHUI CHUI
172,POTOSI,COTAGAITA,CKARA CARA (COTAGAITA),Ckara Ckara
173,POTOSI,COTAGAITA,COLLPA UNO,COLLPA UNO
174,POTOSI,COTAGAITA,CORNACA,CORNACA
175,POTOSI,COTAGAITA,COTAGAITA,Sin registro
176,POTOSI,COTAGAITA,COTAGAITILLA,COTAGAITILLA
177,POTOSI,COTAGAITA,ESCARA,escara
178,POTOSI,COTAGAITA,JACOSCAPA,Jacoscapa
179,POTOSI,COTAGAITA,LAYTAPI,LAYTAPI
180,POTOSI,COTAGAITA,LIMETA,Limeta
181,POTOSI,COTAGAITA,MOCKO PATA,mocko pata
182,POTOSI,COTAGAITA,P. S. SAGRARIO,sagrario
183,POTOSI,COTAGAITA,PALCA HIGUERAS,RANCHO PALCAHIGUERAS
184,POTOSI,COTAGAITA,PALCA LILI,COMUNIDAD PALCALILY
185,POTOSI,COTAGAITA,PAMPA GRANDE,"PAMPA GRANDE ""I"""
186,POTOSI,COTAGAITA,QUECHISLA,QUECHISLA
187,POTOSI,COTAGAITA,RAMADAS,RAMADAS
188,POTOSI,COTAGAITA,SAN JORGE,san jorge
189,POTOSI,COTAGAITA,TABLAYA CHICA,TABLAYA CHICA
190,POTOSI,COTAGAITA,TAPCHIQUIRA,tapchiquira
191,POTOSI,COTAGAITA,TASNA,TASNA ROSARIO
192,POTOSI,COTAGAITA,THAPI,COMUNIDAD THAPI
193,POTOSI,COTAGAITA,TOCLA (COTAGAITA),comunidad tocla
194,POTOSI,COTAGAITA,TOROPALCA,Totopalca
195,POTOSI,COTAGAITA,TOTORA (COTAGAITA),COMUNIDAD DE TOTORA I
196,POTOSI,COTAGAITA,TUMUSLA,Cotagaita
197,POTOSI,COTAGAITA,URUPALCA,URUPALCA
198,POTOSI,COTAGAITA,VICHACLA,carretera principal
199,POTOSI,COTAGAITA,VILLA CONCEPCION,VILLA CONCEPCION
