,departamento,municipio,establecimiento,direccion
116,SANTA CRUZ,CUATRO CAÑADAS,4 CAÑADAS,Av. Bolivar Barrio San Antonio
117,SANTA CRUZ,CUATRO CAÑADAS,NUEVA ESPERANZA,B/NUEVA ESPERANZA
118,SANTA CRUZ,CUATRO CAÑADAS,SAN MIGUEL DE LA FLORIDA,Carretera Santa Cruz Trinidad a 72 Km de Santa Cruz
119,SANTA CRUZ,CUEVO,EL ARENAL,A 7 Km. de Cuevo al Norte
120,SANTA CRUZ,CUEVO,HUARACA,De  Cuevo a 83 Km. Asia Noreste
121,SANTA CRUZ,CUEVO,IVICUATI,Ruta 9 Camiri - Yacuiba a 45Km.
123,SANTA CRUZ,CUEVO,SALINAS,AL SUR)
124,SANTA CRUZ,CUEVO,SAN JUAN BAUTISTA,C./ Pasaje Reyelo Entre C./ Comercio y Sucre
125,SANTA CRUZ,CUEVO,TARATAGALITO,Carretera a camiri 10km. de cuevo
126,SANTA CRUZ,EL PUENTE(STC),EL PUENTE,BARRIOS 24 DE SEPTIEMBRE
128,SANTA CRUZ,EL PUENTE(STC),NUCLEO 47 - 10 NOV.,ANGELES
130,SANTA CRUZ,EL PUENTE(STC),NUCLEO 50,NUCLEO 50
131,SANTA CRUZ,EL PUENTE(STC),NUCLEO 53,ZONA EL MERCADO
132,SANTA CRUZ,EL PUENTE(STC),SURUCUSI,ALADO DEL PARQUE INFANTIL DE SURUCUSI
133,SANTA CRUZ,EL PUENTE(STC),YOTAU,YOTAU B/SAN FRANCISCO
134,SANTA CRUZ,EL TORNO,ANGOSTURA,Carretera antigua a Cochabamba km 60
135,SANTA CRUZ,EL TORNO,CANADA II,DISTRITO III MUNICIPIO EL TORNO
136,SANTA CRUZ,EL TORNO,DERMATOLOGICO,KM 43 CARRETERA ANTIGUA COCHABAMBA
137,SANTA CRUZ,EL TORNO,EL SALAO,TARUMA KM 53 COMUNIDAD EL SALAO
138,SANTA CRUZ,EL TORNO,FORESTAL,EL TORNO - FORESTAL
139,SANTA CRUZ,EL TORNO,JOROCHITO,KM. 42 CARRETERA ANTIGUA COCHABAMBA
140,SANTA CRUZ,EL TORNO,JUNTA PIRAY,el torno distrito 6 comunidad junta pirai
141,SANTA CRUZ,EL TORNO,LA SAGRADA FAMILIA,COMUNIDAD NATIVIDAD
142,SANTA CRUZ,EL TORNO,LIMONCITO,Km 37 Carretera antigua a Cbba
143,SANTA CRUZ,EL TORNO,MONTE VERDE,EL TORNO COMUNIDAD MONTE VERDE
145,SANTA CRUZ,EL TORNO,NUEVA ESPERANZA,EL TORNO SANTA RITA - COMUNIDAD NUEVA ESPERANZA
146,SANTA CRUZ,EL TORNO,SAN LUIS,EL TORNO SAN LUIS KM. 55 CARRETERA ANT A CBBA
147,SANTA CRUZ,EL TORNO,SANTA MARTHA,KM 27 CARRETERA ANTIGUA COCHABAMBA
148,SANTA CRUZ,EL TORNO,SANTA RITA,EL TORNO SANTA RITA
149,SANTA CRUZ,EL TORNO,TARUMA,TARUMA KM 53 CARRETERA ANT. COCHABAMBA
150,SANTA CRUZ,EL TORNO,VILLA TUMAVI,el torno comunidad de villa tumavi
151,SANTA CRUZ,FERNANDEZ ALONSO,3 DE MAYO,B/ 12 DE OCTUBRE AVENIDA SAN PEDRO
152,SANTA CRUZ,FERNANDEZ ALONSO,AGUAHIS,CALLE LA ASUNTA
153,SANTA CRUZ,FERNANDEZ ALONSO,CHANE,"BARRIO VILLA BARRIENTOS  S/N, UV-3 M-5"
154,SANTA CRUZ,FERNANDEZ ALONSO,VIRGEN DE FATIMA,CALLE SANTA CRUZ / BARRIO FLORIDA
155,SANTA CRUZ,GENERAL SAAVEDRA,12 DE OCTUBRE,COMUNIDAD 12 DE OCTUBRE
156,SANTA CRUZ,GENERAL SAAVEDRA,ABELARDO SUAREZ,GENERAL SAAVEDRA C/ SANTIAGO COURNEEN S/N
158,SANTA CRUZ,GENERAL SAAVEDRA,AROMA,AROMA II
159,SANTA CRUZ,GENERAL SAAVEDRA,CHANE BEDOYA,COMUNIDAD CHANE BEDOYA
160,SANTA CRUZ,GENERAL SAAVEDRA,CRUZ SOLETO,CALLE SANTA CRUZ
161,SANTA CRUZ,GENERAL SAAVEDRA,PICO DE MONTE,LADO DEL TANQUE DE AGUA
164,SANTA CRUZ,GENERAL SAAVEDRA,POZA CAIMANES,CAIMANES
166,SANTA CRUZ,GENERAL SAAVEDRA,PUENTE CAIMANES,MUNICIPIO SAAVEDRA-COMUNIDAD PUENTE CAIMANES
167,SANTA CRUZ,GENERAL SAAVEDRA,SAN JUAN DE AMARILLOS,COMUNIDAD SAN JUAN DE AMARILLOS
168,SANTA CRUZ,GENERAL SAAVEDRA,SAN LORENZO,COMUNIDAD SAN LORENZO
169,SANTA CRUZ,GUTIERREZ,C.S. GRAN KAIPEPEMDI KARO VAICHO,PAJA COLRADA
170,SANTA CRUZ,GUTIERREZ,GUTIERREZ,a una cuadra de la carretera a camiri
