,departamento,municipio,establecimiento,direccion
114,CHUQUISACA,MACHARETI,ISIPOTINDI,isipotindi
115,CHUQUISACA,MACHARETI,IVO,Comunidad de Ivo
116,CHUQUISACA,MACHARETI,MACHARETI SANTA ISABEL,CALLE / COMERCIO
117,CHUQUISACA,MACHARETI,NANCAROINZA,?ancaroinza a lado de la iglesia
118,CHUQUISACA,MACHARETI,TENTAMI,sin nombre al frente de la capilla
119,CHUQUISACA,MACHARETI,TIGUIPA ESTACION,BARRIO CENTRAL
121,CHUQUISACA,MACHARETI,TIGUIPA PUEBLO,tiguipa pueblo al lado del centro desarrollo infantil
122,CHUQUISACA,MOJOCOYA,CHURICANA,CHURICANA
123,CHUQUISACA,MOJOCOYA,LA ABRA,COMUNIDAD LA ABRA
124,CHUQUISACA,MOJOCOYA,LA JOYA,LA JOYA
125,CHUQUISACA,MOJOCOYA,MOJOCOYA,MOJOCOYA
126,CHUQUISACA,MOJOCOYA,QUIVALE,QUIVALE
127,CHUQUISACA,MOJOCOYA,SACHAPAMPA,SACHAPAMPA
128,CHUQUISACA,MOJOCOYA,SAN JUAN DE DIOS (CHQ),PLAZA 2 DE AGOSTO
130,CHUQUISACA,MOJOCOYA,YACAMBE,"COMUNIDAD DE YACAMBE, MUNICIPIO MOJOCOYA"
131,CHUQUISACA,MONTEAGUDO,AZERO NORTE,ACERO NORTE
132,CHUQUISACA,MONTEAGUDO,CERRILLOS (CHQ),CERRILLOS
134,CHUQUISACA,MONTEAGUDO,CHAPIMAYU,Chapimayu
135,CHUQUISACA,MONTEAGUDO,CRUCE PIRAIMIRI,CRUCE PIRAYMIRI
136,CHUQUISACA,MONTEAGUDO,DERMATOLOGICO,SAN MIGUEL DE LAS PAMPAS
137,CHUQUISACA,MONTEAGUDO,DESPENSAS,COMUNIDAD DESPENSAS
138,CHUQUISACA,MONTEAGUDO,INGAVI,NO
139,CHUQUISACA,MONTEAGUDO,ITAPENTI,ITAPENTI
140,CHUQUISACA,MONTEAGUDO,LEONARDO GAMBERTI ALVINO,Calle Potosi/ Esq- Walter Guevara
141,CHUQUISACA,MONTEAGUDO,LOS ARCOS,PS LOS ARCOS
142,CHUQUISACA,MONTEAGUDO,RODEO,EL RODEO
