,departamento,municipio,establecimiento,direccion
237,BENI,SAN IGNACIO,SANTISIMA TRINIDAD,SANTÍSIMA TRINIDAD
239,BENI,SAN IGNACIO,VILLA ESPERANZA,frente ala cancha
241,BENI,SAN IGNACIO,VILLA NINA,zona villa niña calle carmelo taraune
243,BENI,SAN JAVIER(BNI),AVAROA,CARRETERA CARMEN DEL ITENEZ KM185
245,BENI,SAN JAVIER(BNI),LAGUNA COLORADA,0
247,BENI,SAN JAVIER(BNI),NUEVO ISRAEL,KM 87 CARRETERA AL CARMEN
249,BENI,SAN JAVIER(BNI),PATA DE AGUILA,FRENTE AL TRIANGULO DEPORTIVO
251,BENI,SAN JAVIER(BNI),SAN JAVIER,AV 6 Agosto
253,BENI,SAN JAVIER(BNI),SAN PEDRO NUEVO,1 CUADRA Y MEDIA DE LA PLAZA
255,BENI,SAN JOAQUIN,HENRY K. BEYE,C/La Paz esq. Av. Alfonzo Elorriaga
257,BENI,SAN JOAQUIN,MONTE AZUL 2,Comunidad Monte Azul
259,BENI,SAN RAMON BENI,SAN RAMON,Zona Machupo calle Rvdo. Gregorio Carazo Nº 10
260,BENI,SANTA ANA,AUGUSTO MORENO,Comunidad El Perú Río Apere
261,BENI,SANTA ANA,CARMEN DEL YRUYANEZ,COMUNIDAD CARMEN DEL YRUYAÑEZ
262,BENI,SANTA ANA,SAN JUAN,ZONA SAN JUAN
263,BENI,SANTA ANA,SANTA ANA DE MOSERUNA,100 m de la carretera san ignasio san borja
265,BENI,SANTA ANA,TOTAIZAL,Totaizal zona sur esq. Plaza Principal
522,BENI,SANTA ANA,TOTAIZAL,",comunidad Totaizal zona sur esq. Plaza Principal"
267,BENI,SANTA ROSA,AUSTRALIA,AUSTRALIA
269,BENI,SANTA ROSA,CERRITO,CERRITO
271,BENI,SANTA ROSA,EL CANDADO,EL CANDADO
273,BENI,SANTA ROSA,JUAN EVO MORALES AYMA,ZONA CAÑAVERAL C/CHE GUEVARA
275,BENI,SANTA ROSA,LAS PETAS,EL TRIUNFO
277,BENI,SANTA ROSA,PUERTO TEREZA,PUERTO TEREZA
279,BENI,SANTA ROSA,PUERTO YATA,PUERTO YATA
281,BENI,SANTA ROSA,SANTA ROSA - BENI,AV. CIRCUNVALACION ESQ. BOLIVAR
282,BENI,TRINIDAD,12 DE ABRIL,24 de septembre
283,BENI,TRINIDAD,30 DE JULIO,AV/ 30 DE JULIO Y CALLE N3
285,BENI,TRINIDAD,ACILO DE ANCIANOS,Fuentes
534,BENI,TRINIDAD,ACILO DE ANCIANOS,Martiniano Fuentes
286,BENI,TRINIDAD,CARCELETA  MOCOVI VARONES,MOCOVI
288,BENI,TRINIDAD,CASARABE,Cochabamba
289,BENI,TRINIDAD,CIPRIANO BARACE,CALLE EXALTACION BARRIO PAITITI 2da ENTRADA
290,BENI,TRINIDAD,EL TOTAI,CALLE ASAI S/N
291,BENI,TRINIDAD,IVIATO,CARRETERA AL CARMEN DEL IRTENEZ
292,BENI,TRINIDAD,LOMA SUAREZ,Loma suarez km 16
293,BENI,TRINIDAD,MANA,Av. Principal
294,BENI,TRINIDAD,MANGALITO,el estudiante
295,BENI,TRINIDAD,NUEVA TRINIDAD,CALLE N 2 DE LA NUEVA TRINIDAD
297,BENI,TRINIDAD,PEDRO IGNACIO MUIBA,DE AGOSTO
547,BENI,TRINIDAD,PEDRO IGNACIO MUIBA,C/ 15 DE AGOSTO
298,BENI,TRINIDAD,PEDRO MARBAN,Av. Pedro Marban
299,BENI,TRINIDAD,PLATAFORMA,C/ 18 de Agosto Esq. Vision Mundial
300,BENI,TRINIDAD,POMPEYA,Av. Beni Final
302,BENI,TRINIDAD,PRO VIDA,martiniano fuente
303,BENI,TRINIDAD,PUERTO ALMACEN,PUERTO ALMACEN
304,BENI,TRINIDAD,PUERTO BALLIVIAN,PUERTO BALLIVIAN
305,BENI,TRINIDAD,PUERTO BARADOR,C/ Hnas de la Caridad 1 cuadra del Puerto
306,BENI,TRINIDAD,SALUD AMBIENTAL BENI,CALLE LA PAZ N°229
307,BENI,TRINIDAD,SAN JOSE,C/ 18 DE NOVIEMBRE
308,BENI,TRINIDAD,SAN VICENTE,CALLE MACHETEROS  ENTRE ORURO Y POTOSI
309,BENI,TRINIDAD,TRINIDAD (CENTRAL),CALLE NICOLAS SUAREZ ESQ. BOLIVAR
311,BENI,TRINIDAD,VILLA MONASTERIO,Urbanización Villa Monasterio Av. !2 de Septiembre S/N
562,BENI,TRINIDAD,VILLA MONASTERIO,Septiembre S/N
312,BENI,TRINIDAD,VILLA VECINAL,VILLAVECINAL AVENIDA PRINCIPAL CALLA 27
1,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
