,departamento,municipio,establecimiento,direccion
140,TARIJA,SAN LORENZO(TJA),PAMPA GRANDE,DE MAYO
141,TARIJA,SAN LORENZO(TJA),QUIRUSILLAS,COMUNIDAD QUIRUSILLAS
143,TARIJA,SAN LORENZO(TJA),SAN LORENZO,COMUNIDAD SAN LORENZO BARRIO OSCAR ALFARO
145,TARIJA,SAN LORENZO(TJA),SAN PEDRO DE LAS PENAS,IGLESIA
147,TARIJA,SAN LORENZO(TJA),SELLA MENDEZ,COMUNIDAD DE SELLA MENDEZ CARRETERA PRINCIPAL
149,TARIJA,SAN LORENZO(TJA),TOMATITAS,AVENIDA PRINCIPAL A SAN LORENZO DESVIO A ERQUIS
150,TARIJA,SAN LORENZO(TJA),ZAPATERA (SAN LORENZO),COMUNIDAD DE ZAPATERA AL LADO DE LA ESCUELA
152,TARIJA,TARIJA,15 DE NOVIEMBRE,AV.PANAMERICANO FRENTE AL MERCADO CAMPESINO
154,TARIJA,TARIJA,3 DE MAYO,Rimoteo Rana y Rgto Montes
155,TARIJA,TARIJA,ALTO ESPANA,a lado iglesia espana sud
156,TARIJA,TARIJA,ARANJUEZ,avenida los parrales
163,TARIJA,TARIJA,CIENEGUILLAS,cieneguillas frente a la tienda comunal
164,TARIJA,TARIJA,EL CONSTRUCTOR,AV. LUIS ESPINAL Y AV. AGUAIRENDA
168,TARIJA,TARIJA,GAMONEDA,Comunidad Gamoneda cerca de la Iglesia
169,TARIJA,TARIJA,GUADALQUIVIR,av. circunvalacion y panamericana s/n
171,TARIJA,TARIJA,GUERRAHUAYCO,pasando el puente
160,TARIJA,TARIJA,HEMODIALISIS SAN ANDRES,colegio pedro rivera
172,TARIJA,TARIJA,JULIO ZUARES,FRANCISCO MORENO Y JORGE ECHAZU s/n
173,TARIJA,TARIJA,JUNACAS,al lado de la escuela de la comunidad de Junacas
174,TARIJA,TARIJA,LA PINTADA,Carretera al Valle km 13
158,TARIJA,TARIJA,MUNICIPAL,Edificio Palacio Del Deporte-Av/Victor Paz
175,TARIJA,TARIJA,NESTOR PAZ ZAMORA,calle Pedro Lozano Entre av. los molles
176,TARIJA,TARIJA,PALMARCITO,CALLE JOSE ELECTO DIAS/AV.M.QUIROGA S
178,TARIJA,TARIJA,PAMPA REDONDA,Comunidad Pampa Redonda sobre el camino principal
180,TARIJA,TARIJA,PAPACHACRA,Iglesia
181,TARIJA,TARIJA,PINOS SUD,canton lazareto comunidad pinos sud
183,TARIJA,TARIJA,SAN ANDRES,"CERCADO, DPTO. TARIJA"
184,TARIJA,TARIJA,SAN BLASS,comunidad san Blass a lado de la escuela
185,TARIJA,TARIJA,SAN JORGE,CALLE JULIO LA FAYE
186,TARIJA,TARIJA,SAN LUIS,B/ San Luis/ urbanizacion Oller final
188,TARIJA,TARIJA,SANTA ANA,comunidad de Santa Ana La Nueva a lado de la iglesia
189,TARIJA,TARIJA,SEDES - EPIDEMIOLOGIA,Av. Potosi 543
191,TARIJA,TARIJA,SELLA - CERCADO,SELLA CERCADO
192,TARIJA,TARIJA,TABLADITA,Barrio Luis de Fuentes. Av. Julio Arce - Av. Los Ceibos
162,TARIJA,TARIJA,TARIJA,Calle Espana esquina pasaje California
193,TARIJA,TARIJA,TOLOMOSA,Comunidad Tolomosa frente a la iglesia
167,TARIJA,TARIJA,UAJMS,Calle Bolivar
194,TARIJA,TARIJA,VILLA AVAROA,C/ AV. CIRCUMBALACION ESQ. C/ CALAMA Y BALLIVIAN
195,TARIJA,TARIJA,VILLA BUSH,Pasaje Pedro Rivera
196,TARIJA,TARIJA,VIRGEN DE GUADALUPE,B. ARTEZANAL- ZONA MORROS BLANCOS
198,TARIJA,TARIJA,YESERA NORTE,lado de la Iglesia
199,TARIJA,URIONDO (A. CONCEPCION),ALIZOS,CARRETERA A 100 METROS DE LA UNIDAD EDUCATIVA
200,TARIJA,URIONDO (A. CONCEPCION),CALAMUCHITA,COMUNIDAD CALAMUCHITA
201,TARIJA,URIONDO (A. CONCEPCION),CHARAJA,COMUNIDAD DE CHARAJA
202,TARIJA,URIONDO (A. CONCEPCION),CHOCLOCA,COMUNIDAD CHOCLOCA
203,TARIJA,URIONDO (A. CONCEPCION),COLON SUD (DESDE 4/98),COMUNIDAD COLON SUD
204,TARIJA,URIONDO (A. CONCEPCION),FANOR ROMERO,RECREO
205,TARIJA,URIONDO (A. CONCEPCION),JUNTAS,COMUNIDAD DE JUN TAS CARRETERA A CHAGUAYA
206,TARIJA,URIONDO (A. CONCEPCION),LA VENTOLERA (DESDE 5/99),COMUNIDAD LA VENTOLERA
207,TARIJA,URIONDO (A. CONCEPCION),LADERAS SUD,COMUNIDAD DE LADERAS SUD
208,TARIJA,URIONDO (A. CONCEPCION),MISCAS CALDERAS (DESDE5/98),COMUNIDAD MISCAS CALDERA
209,TARIJA,VILLA MONTES,ALGARROBAL,JUNTO A LA UNIDAD EDUCATIVA ALGARROBAL
210,TARIJA,VILLA MONTES,CAIGUA,comunidad de caigua sobre la carretera a santa cruz
211,TARIJA,VILLA MONTES,CAPIRENDITA,comunidad capirendita frente a nidito municipal
212,TARIJA,VILLA MONTES,CAPITAN USTAREZ,carretera a tarija 7km
214,TARIJA,VILLA MONTES,CHIMEO,ENTRE IGLESIA ASUNTA DEL CIELO
215,TARIJA,VILLA MONTES,CUTAIQUI,Frente a la escuelita
216,TARIJA,VILLA MONTES,ESMERALDA,A lado de la Unidad Educativa Esmeralda
217,TARIJA,VILLA MONTES,IBIBOBO,Frenten a la Unidad Educativa Rafael Pabon
218,TARIJA,VILLA MONTES,IBOPEITY ( VILLA MONTES),cerca al nidito municipal
219,TARIJA,VILLA MONTES,IPA,ipa
220,TARIJA,VILLA MONTES,LA MISION,barrio avaroa
221,TARIJA,VILLA MONTES,LOS GALPONES,escuela
213,TARIJA,VILLA MONTES,MARIA,C/ GUALBERTO VILLARROEL ESQ. LEONARDO OLMOS
227,TARIJA,VILLA MONTES,MONTES,ibibobo
