id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
113;2;LA PAZ;21901;SANTIAGO DE MACHACA;701;3432;4133;2,022414694;0,757395151;0,847284653
114;2;LA PAZ;21902;CATACORA;380;1491;1871;1,208970973;0,543021515;0,61142503
115;2;LA PAZ;22001;CARANAVI;19923;30897;50820;3,218452777;0,653503732;0,950453061
116;2;LA PAZ;22002;ALTO BENI;10421;11143;21564;7,193837388;1,066301615;1,812292744
117;3;COCHABAMBA;30101;COCHABAMBA;260332;953154;1213486;3,739728957;1,585365289;1,808924233
118;3;COCHABAMBA;30201;AIQUILE;10244;15106;25350;3,477025808;0,69423649;1,026093455
119;3;COCHABAMBA;30202;PASORAPA;1352;4724;6076;1,838491264;0,721806608;0,834606796
120;3;COCHABAMBA;30203;OMEREQUE;3612;6868;10480;5,239308378;1,294882488;1,748601737
121;3;COCHABAMBA;30301;AYOPAYA (V. DE INDEPENDENCIA);12324;18501;30825;3,728705265;0,847797384;1,226738734
122;3;COCHABAMBA;30302;MOROCHATA;4511;6058;10569;2,722214389;0,507665538;0,777695024
123;3;COCHABAMBA;30303;COCAPATA;8118;5831;13949;3,017982715;0,353070121;0,726320921
124;3;COCHABAMBA;30401;TARATA;2770;4014;6784;3,263562764;0,507906994;0,775155944
125;3;COCHABAMBA;30402;ANZALDO;1674;6791;8465;1,840358212;1,009751161;1,108706276
126;3;COCHABAMBA;30403;ARBIETO;6273;7214;13487;3,265583823;0,434686793;0,728365584
127;3;COCHABAMBA;30404;SACABAMBA;1352;3335;4687;2,599369926;0,81050678;1,011254852
128;3;COCHABAMBA;30501;ARANI;3635;3916;7551;3,866026143;0,428143523;0,748608994
129;3;COCHABAMBA;30502;VACAS;3453;5205;8658;3,412371137;0,61407396;0,912512997
130;3;COCHABAMBA;30601;ARQUE;8297;6529;14826;4,592091187;0,691365386;1,317815864
131;3;COCHABAMBA;30602;TACOPAYA;2626;6106;8732;1,935809573;0,640796756;0,802182706
132;3;COCHABAMBA;30701;CAPINOTA;9557;15650;25207;3,846177356;0,860253137;1,219076672
133;3;COCHABAMBA;30702;SANTIVAÑES;2395;6028;8423;3,668025762;0,960533689;1,215682611
134;3;COCHABAMBA;30703;SICAYA;1402;1809;3211;2,669089533;0,524672;0,808176677
135;3;COCHABAMBA;30801;CLIZA;7363;8063;15426;3,024259477;0,387449571;0,663623853
136;3;COCHABAMBA;30802;TOCO;2334;4563;6897;4,020435895;0,660212336;0,920588481
137;3;COCHABAMBA;30803;TOLATA;1911;4783;6694;3,472219097;0,896622304;1,137500387
138;3;COCHABAMBA;30901;QUILLACOLLO;43356;132874;176230;2,690950348;1,025995922;1,210211978
139;3;COCHABAMBA;30902;SIPE SIPE;16820;14517;31337;3,117319064;0,374787804;0,710113266
140;3;COCHABAMBA;30903;TIQUIPAYA;29145;17251;46396;4,627445993;0,338794658;0,810877331
141;3;COCHABAMBA;30904;VINTO;8662;15506;24168;1,304238002;0,319568616;0,438119065
142;3;COCHABAMBA;30905;COLCAPIRHUA;9581;18612;28193;1,689045318;0,375882799;0,510855018
143;3;COCHABAMBA;31001;SACABA;56864;71843;128707;2,806862841;0,441243793;0,703016509
144;3;COCHABAMBA;31002;COLOMI;7068;6059;13127;2,701290379;0,339203712;0,640999668
145;3;COCHABAMBA;31003;VILLA TUNARI;61389;61012;122401;5,805193481;0,934404026;1,613300409
146;3;COCHABAMBA;31101;TAPACARI;12627;13560;26187;3,917986243;0,591411713;1,001375898
147;3;COCHABAMBA;31201;TOTORA(CBBA);4799;5025;9824;2,313836308;0,372150514;0,630687762
148;3;COCHABAMBA;31202;POJO (CBBA);6533;7105;13638;4,374476052;0,764443865;1,264208858
149;3;COCHABAMBA;31203;POCONA;5026;9764;14790;3,944601368;0,962813632;1,295634364
150;3;COCHABAMBA;31204;CHIMORE;17778;16738;34516;5,570780307;0,840883857;1,494422951
